date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP
2000-04-01,BRA,BRL,Brazil,2.95,1.79,1.64804469273743,3726.81166909716
2001-04-01,BRA,BRL,Brazil,3.6,2.19,1.6438356164383603,3142.23513974908
2002-04-01,BRA,BRL,Brazil,3.6,2.34,1.53846153846154,2824.71541300038
2003-04-01,BRA,BRL,Brazil,4.55,3.07,1.4820846905537501,3056.6497976949395
2004-05-01,BRA,BRL,Brazil,5.4,3.18,1.6981132075471699,3623.22446166485
2005-06-01,BRA,BRL,Brazil,5.9,2.4648,2.39370334307043,4773.26855132261
2006-05-01,BRA,BRL,Brazil,6.4,2.3045,2.77717509221089,5866.023414271651
2007-06-01,BRA,BRL,Brazil,6.9,1.913,3.60690015682175,7323.19159375818
2008-06-01,BRA,BRL,Brazil,7.5,1.5846,4.73305566073457,8801.75787553359
2009-07-01,BRA,BRL,Brazil,8.03,1.9971,4.0208302037955,8569.90254736072
2010-07-01,BRA,BRL,Brazil,8.71,1.77495,4.907180483957299,11249.291890435201
2011-07-01,BRA,BRL,Brazil,9.5,1.5416,6.1624286455630495,13200.556234878899
2012-07-01,BRA,BRL,Brazil,10.08,2.04215,4.935974340768309,12327.5131013057
2013-07-01,BRA,BRL,Brazil,12.0,2.27065,5.28483033492612,12258.5657091866
2014-07-01,BRA,BRL,Brazil,13.0,2.22025,5.855196486882111,12071.4044637296
2015-07-01,BRA,BRL,Brazil,13.5,3.15235,4.28251939029613,8783.2154236384
2016-07-01,BRA,BRL,Brazil,15.5,3.24145,4.78181060944948,8680.73646873878
2017-07-01,BRA,BRL,Brazil,16.5,3.2343,5.10156757258139,9896.718895005279
2018-07-01,BRA,BRL,Brazil,16.9,3.83835,4.4029335521773705,9121.02099480377
2019-07-09,BRA,BRL,Brazil,17.5,3.8073,4.59643316786174,8845.32414932264
2020-07-01,BRA,BRL,Brazil,20.9,5.34045,3.9135278862268197,6923.6999117682
2000-04-01,ARG,ARS,Argentina,2.5,1.0,2.5,7666.517834237829
2001-04-01,ARG,ARS,Argentina,2.5,1.0,2.5,7168.975872329109
2002-04-01,ARG,ARS,Argentina,2.5,3.13,0.7987220447284351,2579.48876933284
2003-04-01,ARG,ARS,Argentina,4.1,2.88,1.42361111111111,3333.1529038899703
2004-05-01,ARG,ARS,Argentina,4.36,2.95,1.4779661016949202,4258.16026060875
2005-06-01,ARG,ARS,Argentina,4.75,2.897,1.6396272005522998,5086.62776073134
2006-05-01,ARG,ARS,Argentina,7.0,3.0565,2.29020121053493,5890.97800169795
2007-06-01,ARG,ARS,Argentina,8.25,3.0915,2.66860747210092,7210.595547558991
2008-06-01,ARG,ARS,Argentina,11.0,3.0195,3.64298724954463,8977.50685093365
2009-07-01,ARG,ARS,Argentina,11.5,3.81125,3.0173827484421096,8184.389889239909
2010-07-01,ARG,ARS,Argentina,14.0,3.93375,3.55894502700985,10385.964431955501
2011-07-01,ARG,ARS,Argentina,20.0,4.1325,4.83968542044767,12848.739151456799
2012-07-01,ARG,ARS,Argentina,19.0,4.56625,4.16096359156857,13082.664325572
2013-07-01,ARG,ARS,Argentina,21.0,5.4125,3.87990762124711,13080.2547323367
2014-07-01,ARG,ARS,Argentina,21.0,8.16875,2.5707727620505,12334.7982453893
2015-07-01,ARG,ARS,Argentina,28.0,9.135,3.06513409961686,13789.060424772
2016-07-01,ARG,ARS,Argentina,50.0,14.935,3.3478406427854,12790.2641396135
2017-07-01,ARG,ARS,Argentina,70.0,16.9675,4.12553410932665,14613.0356486571
2018-07-01,ARG,ARS,Argentina,75.0,27.725,2.7051397655545495,11795.1627452798
2019-07-09,ARG,ARS,Argentina,120.0,41.8045,2.87050437153895,9963.674161716619
2020-07-01,ARG,ARS,Argentina,250.0,71.24065,3.5092324396254106,8500.837938505341
2000-04-01,SGP,SGD,Singapore,3.2,1.7,1.88235294117647,23852.838951475296
2001-04-01,SGP,SGD,Singapore,3.3,1.81,1.8232044198895,21699.7414868907
2002-04-01,SGP,SGD,Singapore,3.3,1.82,1.81318681318681,22159.837371063903
2003-04-01,SGP,SGD,Singapore,3.3,1.78,1.85393258426966,23730.384005456603
2004-05-01,SGP,SGD,Singapore,3.3,1.71,1.9298245614035099,27608.080013422998
2005-06-01,SGP,SGD,Singapore,3.6,1.6607,2.16776058288673,29961.317281273197
2006-05-01,SGP,SGD,Singapore,3.6,1.5873,2.2680022680022702,33768.4528234651
2007-06-01,SGP,SGD,Singapore,3.95,1.52375,2.5922887612797405,39432.8860198877
2008-06-01,SGP,SGD,Singapore,3.95,1.35275,2.9199778229532405,40008.5720489092
2009-07-01,SGP,SGD,Singapore,4.22,1.4645,2.8815295322635697,38926.8054365453
2010-07-01,SGP,SGD,Singapore,4.23,1.3742,3.0781545626546403,47236.683084953
2011-07-01,SGP,SGD,Singapore,4.41,1.20705,3.65353547906052,53891.457026437194
