date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,Inflation_USD,Inflation_Local,GDP
2000-04-01,BRA,BRL,Brazil,2.95,1.79,1.64804469273743,,,3726.81166909716
2001-04-01,BRA,BRL,Brazil,3.6,2.19,1.6438356164383603,-0.002553981889943949,0.22033898305084743,3142.23513974908
2002-04-01,BRA,BRL,Brazil,3.6,2.34,1.53846153846154,-0.06410256410256546,0.0,2824.71541300038
2003-04-01,BRA,BRL,Brazil,4.55,3.07,1.4820846905537501,-0.036644951140063435,0.2638888888888888,3056.6497976949395
2004-05-01,BRA,BRL,Brazil,5.4,3.18,1.6981132075471699,0.1457599004768784,0.18681318681318693,3623.22446166485
2005-06-01,BRA,BRL,Brazil,5.9,2.4648,2.39370334307043,0.4096253020303644,0.09259259259259259,4773.26855132261
2006-05-01,BRA,BRL,Brazil,6.4,2.3045,2.77717509221089,0.16020019784430617,0.0847457627118644,5866.023414271651
2007-06-01,BRA,BRL,Brazil,6.9,1.913,3.60690015682175,0.29876584553058233,0.078125,7323.19159375818
2008-06-01,BRA,BRL,Brazil,7.5,1.5846,4.73305566073457,0.31222253318626425,0.08695652173913038,8801.75787553359
2009-07-01,BRA,BRL,Brazil,8.03,1.9971,4.0208302037955,-0.15047899454208685,0.07066666666666659,8569.90254736072
2010-07-01,BRA,BRL,Brazil,8.71,1.77495,4.907180483957299,0.220439619490801,0.0846824408468246,11249.291890435201
2011-07-01,BRA,BRL,Brazil,9.5,1.5416,6.1624286455630495,0.2557982462046066,0.0907003444316876,13200.556234878899
2012-07-01,BRA,BRL,Brazil,10.08,2.04215,4.935974340768309,-0.1990212585549023,0.06105263157894738,12327.5131013057
2013-07-01,BRA,BRL,Brazil,12.0,2.27065,5.28483033492612,0.07067621711005682,0.19047619047619047,12258.5657091866
2014-07-01,BRA,BRL,Brazil,13.0,2.22025,5.855196486882111,0.10792515857823927,0.08333333333333333,12071.4044637296
2015-07-01,BRA,BRL,Brazil,13.5,3.15235,4.28251939029613,-0.26859510182269397,0.038461538461538464,8783.2154236384
2016-07-01,BRA,BRL,Brazil,15.5,3.24145,4.78181060944948,0.1165881981257824,0.14814814814814814,8680.73646873878
2017-07-01,BRA,BRL,Brazil,16.5,3.2343,5.10156757258139,0.06686943278347911,0.06451612903225806,9896.718895005279
2018-07-01,BRA,BRL,Brazil,16.9,3.83835,4.4029335521773705,-0.13694497043592246,0.024242424242424156,9121.02099480377
2019-07-09,BRA,BRL,Brazil,17.5,3.8073,4.59643316786174,0.04394788460722477,0.03550295857988174,8845.32414932264
2020-07-01,BRA,BRL,Brazil,20.9,5.34045,3.9135278862268197,-0.1485728730724932,0.1942857142857142,6923.6999117682
2000-04-01,ARG,ARS,Argentina,2.5,1.0,2.5,,,7666.517834237829
2001-04-01,ARG,ARS,Argentina,2.5,1.0,2.5,0.0,0.0,7168.975872329109
2002-04-01,ARG,ARS,Argentina,2.5,3.13,0.7987220447284351,-0.6805111821086259,0.0,2579.48876933284
2003-04-01,ARG,ARS,Argentina,4.1,2.88,1.42361111111111,0.7823611111111084,0.6399999999999999,3333.1529038899703
2004-05-01,ARG,ARS,Argentina,4.36,2.95,1.4779661016949202,0.03818106655643249,0.06341463414634163,4258.16026060875
2005-06-01,ARG,ARS,Argentina,4.75,2.897,1.6396272005522998,0.10938078936451111,0.08944954128440359,5086.62776073134
2006-05-01,ARG,ARS,Argentina,7.0,3.0565,2.29020121053493,0.3967816646146684,0.47368421052631576,5890.97800169795
2007-06-01,ARG,ARS,Argentina,8.25,3.0915,2.66860747210092,0.16522839121092078,0.17857142857142858,7210.595547558991
2008-06-01,ARG,ARS,Argentina,11.0,3.0195,3.64298724954463,0.36512667660208875,0.3333333333333333,8977.50685093365
2009-07-01,ARG,ARS,Argentina,11.5,3.81125,3.0173827484421096,-0.1717284355526417,0.045454545454545456,8184.389889239909
2010-07-01,ARG,ARS,Argentina,14.0,3.93375,3.55894502700985,0.1794808029731567,0.21739130434782608,10385.964431955501
2011-07-01,ARG,ARS,Argentina,20.0,4.1325,4.83968542044767,0.3598651801918589,0.42857142857142855,12848.739151456799
2012-07-01,ARG,ARS,Argentina,19.0,4.56625,4.16096359156857,-0.14024089789214406,-0.05,13082.664325572
2013-07-01,ARG,ARS,Argentina,21.0,5.4125,3.87990762124711,-0.06754588549896672,0.10526315789473684,13080.2547323367
2014-07-01,ARG,ARS,Argentina,21.0,8.16875,2.5707727620505,-0.3374139250191266,0.0,12334.7982453893
2015-07-01,ARG,ARS,Argentina,28.0,9.135,3.06513409961686,0.1923006750592953,0.3333333333333333,13789.060424772
2016-07-01,ARG,ARS,Argentina,50.0,14.935,3.3478406427854,0.09223300970873613,0.7857142857142857,12790.2641396135
2017-07-01,ARG,ARS,Argentina,70.0,16.9675,4.12553410932665,0.23229703845587155,0.4,14613.0356486571
2018-07-01,ARG,ARS,Argentina,75.0,27.725,2.7051397655545495,-0.3442934432564734,0.07142857142857142,11795.1627452798
2019-07-09,ARG,ARS,Argentina,120.0,41.8045,2.87050437153895,0.06112978267890023,0.6,9963.674161716619
2020-07-01,ARG,ARS,Argentina,250.0,71.24065,3.5092324396254106,0.2225142293526702,1.0833333333333333,8500.837938505341
2000-04-01,SGP,SGD,Singapore,3.2,1.7,1.88235294117647,,,23852.838951475296
2001-04-01,SGP,SGD,Singapore,3.3,1.81,1.8232044198895,-0.031422651933702715,0.03124999999999989,21699.7414868907
2002-04-01,SGP,SGD,Singapore,3.3,1.82,1.81318681318681,-0.005494505494505752,0.0,22159.837371063903
2003-04-01,SGP,SGD,Singapore,3.3,1.78,1.85393258426966,0.02247191011235964,0.0,23730.384005456603
2004-05-01,SGP,SGD,Singapore,3.3,1.71,1.9298245614035099,0.04093567251462218,0.0,27608.080013422998
2005-06-01,SGP,SGD,Singapore,3.6,1.6607,2.16776058288673,0.12329412022312303,0.090909090909091,29961.317281273197
2006-05-01,SGP,SGD,Singapore,3.6,1.5873,2.2680022680022702,0.046242046242049493,0.0,33768.4528234651
2007-06-01,SGP,SGD,Singapore,3.95,1.52375,2.5922887612797405,0.14298331966092445,0.09722222222222224,39432.8860198877
2008-06-01,SGP,SGD,Singapore,3.95,1.35275,2.9199778229532405,0.12640916651265696,0.0,40008.5720489092
2009-07-01,SGP,SGD,Singapore,4.22,1.4645,2.8815295322635697,-0.013167322843152468,0.06835443037974673,38926.8054365453
2010-07-01,SGP,SGD,Singapore,4.23,1.3742,3.0781545626546403,0.06823634052315712,0.002369668246445658,47236.683084953
2011-07-01,SGP,SGD,Singapore,4.41,1.20705,3.65353547906052,0.1869239847103921,0.04255319148936163,53891.457026437194
2012-07-01,SGP,SGD,Singapore,4.4,1.2585,3.49622566547477,-0.04305687312668471,-0.002267573696145076,55547.5553077786
2013-07-01,SGP,SGD,Singapore,4.7,1.2747,3.68714207264454,0.0546064314598081,0.06818181818181814,56967.4257940383
2014-07-01,SGP,SGD,Singapore,4.7,1.238,3.7964458804523398,0.029644588045234618,0.0,57564.8023114977
2015-07-01,SGP,SGD,Singapore,4.7,1.3664,3.4396955503512903,-0.09396955503512758,0.0,55645.6068614606
2016-07-01,SGP,SGD,Singapore,5.45,1.3577,4.01414156293732,0.16700490033990445,0.15957446808510636,56899.91818051731
2017-07-01,SGP,SGD,Singapore,5.6,1.3777,4.06474559047688,0.012606438200084476,0.027522935779816415,61162.0973932771
2018-07-01,SGP,SGD,Singapore,5.8,1.35585,4.27775933915994,0.05240518599297347,0.03571428571428575,66840.6373389791
2019-07-09,SGP,SGD,Singapore,5.8,1.3613,4.26063321824726,-0.004003526041285733,0.0,66081.7199235165
2020-07-01,SGP,SGD,Singapore,5.9,1.3876,4.251945805707701,-0.0020389956362244434,0.01724137931034492,61466.803676357995
2000-04-01,CHE,CHF,Switzerland,5.9,1.7,3.4705882352941204,,,38865.021939688
2001-04-01,CHE,CHF,Switzerland,6.3,1.73,3.64161849710983,0.04927990594689933,0.06779661016949143,39638.7911061864
2002-04-01,CHE,CHF,Switzerland,6.3,1.66,3.79518072289157,0.04216867469879522,0.0,42458.7384679187
2003-04-01,CHE,CHF,Switzerland,6.3,1.37,4.5985401459854005,0.2116788321167869,0.0,49335.7456291067
