date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price
2000-04-01,CHL,CLP,Chile,1260.0,514.0,2.45136186770428
2001-04-01,CHL,CLP,Chile,1260.0,601.0,2.09650582362729
2002-04-01,CHL,CLP,Chile,1400.0,655.0,2.13740458015267
2003-04-01,CHL,CLP,Chile,1400.0,716.0,1.9553072625698302
2004-05-01,CHL,CLP,Chile,1400.0,641.0,2.18408736349454
2005-06-01,CHL,CLP,Chile,1500.0,592.45,2.53185922862689
2006-05-01,CHL,CLP,Chile,1560.0,529.95,2.9436739315029703
2007-06-01,CHL,CLP,Chile,1565.0,526.75,2.9710488846701497
2008-06-01,CHL,CLP,Chile,1550.0,494.65,3.13352875770747
2009-07-01,CHL,CLP,Chile,1750.0,548.55,3.1902287849785798
2010-07-01,CHL,CLP,Chile,1750.0,523.65,3.34192685954359
2011-07-01,CHL,CLP,Chile,1850.0,462.75,3.99783900594273
2012-07-01,CHL,CLP,Chile,2050.0,493.05,4.1577933272487595
2013-07-01,CHL,CLP,Chile,2000.0,508.155,3.93580698802531
2014-07-01,CHL,CLP,Chile,2100.0,564.14,3.72248023540256
2015-07-01,CHL,CLP,Chile,2100.0,642.45,3.26873686668223
2016-07-01,CHL,CLP,Chile,2300.0,651.12,3.53237498464185
2017-07-01,CHL,CLP,Chile,2550.0,663.355,3.84409554461789
2018-07-01,CHL,CLP,Chile,2640.0,651.73,4.05075721541129
2019-07-09,CHL,CLP,Chile,2640.0,689.75,3.82747372236318
2020-07-01,CHL,CLP,Chile,2740.0,787.7,3.4784816554525797
2000-04-01,RUS,RUB,Russia,39.5,28.5,1.3859649122806998
2001-04-01,RUS,RUB,Russia,35.0,28.9,1.2110726643598602
2002-04-01,RUS,RUB,Russia,39.0,31.2,1.25
2003-04-01,RUS,RUB,Russia,41.0,31.1,1.31832797427653
2004-05-01,RUS,RUB,Russia,42.0,29.0,1.44827586206897
2005-06-01,RUS,RUB,Russia,42.0,28.4055,1.47858689338332
2006-05-01,RUS,RUB,Russia,48.0,27.06375,1.77359013440488
2007-06-01,RUS,RUB,Russia,52.0,25.64825,2.0274287719435002
2008-06-01,RUS,RUB,Russia,59.0,23.2336,2.5394256593898503
2009-07-01,RUS,RUB,Russia,67.0,32.7959,2.04293829411603
2010-07-01,RUS,RUB,Russia,71.0,30.44325,2.3322082891938303
2011-07-01,RUS,RUB,Russia,75.0,27.7525,2.70245923790649
2012-07-01,RUS,RUB,Russia,75.0,32.76525,2.28901046077781
2013-07-01,RUS,RUB,Russia,87.0,32.9389,2.64125395808603
2014-07-01,RUS,RUB,Russia,89.0,34.83725,2.5547366683650403
2015-07-01,RUS,RUB,Russia,107.0,56.815,1.8833054651060501
2016-07-01,RUS,RUB,Russia,130.0,63.40755,2.05022903423961
2017-07-01,RUS,RUB,Russia,137.0,60.1369,2.2781353877569397
2018-07-01,RUS,RUB,Russia,130.0,62.14065,2.09202832606353
2019-07-09,RUS,RUB,Russia,130.0,63.83875,2.03638072487322
2020-07-01,RUS,RUB,Russia,135.0,70.585,1.91258766026776
2000-04-01,TWN,TWD,Taiwan,70.0,30.6,2.28758169934641
2001-04-01,TWN,TWD,Taiwan,70.0,32.9,2.1276595744680904
2002-04-01,TWN,TWD,Taiwan,70.0,34.8,2.01149425287356
2003-04-01,TWN,TWD,Taiwan,70.0,34.8,2.01149425287356
2004-05-01,TWN,TWD,Taiwan,75.0,33.4,2.24550898203593
2005-06-01,TWN,TWD,Taiwan,75.0,31.175,2.4057738572574197
2006-05-01,TWN,TWD,Taiwan,75.0,32.141,2.3334681559379
2007-06-01,TWN,TWD,Taiwan,75.0,32.7705,2.2886437497139203
2008-06-01,TWN,TWD,Taiwan,75.0,30.3625,2.4701523260601097
2009-07-01,TWN,TWD,Taiwan,75.0,33.1755,2.2607044355021
2010-07-01,TWN,TWD,Taiwan,75.0,32.1055,2.336048340627
2011-07-01,TWN,TWD,Taiwan,75.0,28.834,2.60109592841784
2012-07-01,TWN,TWD,Taiwan,75.0,30.1955,2.4838138133165497
2013-07-01,TWN,TWD,Taiwan,79.0,30.0285,2.63083404099439
2014-07-01,TWN,TWD,Taiwan,79.0,29.982,2.6349142819024802
2015-07-01,TWN,TWD,Taiwan,79.0,31.02,2.5467440361057405
2016-07-01,TWN,TWD,Taiwan,69.0,32.029,2.1542976677386103
2017-07-01,TWN,TWD,Taiwan,69.0,30.4775,2.26396522024444
2018-07-01,TWN,TWD,Taiwan,69.0,30.3725,2.27179191703021
2019-07-09,TWN,TWD,Taiwan,72.0,31.171999999999997,2.3097651738739904
2020-07-01,TWN,TWD,Taiwan,72.0,29.4565,2.44428224670277
2000-04-01,BRA,BRL,Brazil,2.95,1.79,1.64804469273743
2001-04-01,BRA,BRL,Brazil,3.6,2.19,1.6438356164383603
2002-04-01,BRA,BRL,Brazil,3.6,2.34,1.53846153846154
2003-04-01,BRA,BRL,Brazil,4.55,3.07,1.4820846905537501
2004-05-01,BRA,BRL,Brazil,5.4,3.18,1.6981132075471699
2005-06-01,BRA,BRL,Brazil,5.9,2.4648,2.39370334307043
2006-05-01,BRA,BRL,Brazil,6.4,2.3045,2.77717509221089
2007-06-01,BRA,BRL,Brazil,6.9,1.913,3.60690015682175
2008-06-01,BRA,BRL,Brazil,7.5,1.5846,4.73305566073457
2009-07-01,BRA,BRL,Brazil,8.03,1.9971,4.0208302037955
2010-07-01,BRA,BRL,Brazil,8.71,1.77495,4.907180483957299
2011-07-01,BRA,BRL,Brazil,9.5,1.5416,6.1624286455630495
2012-07-01,BRA,BRL,Brazil,10.08,2.04215,4.935974340768309
2013-07-01,BRA,BRL,Brazil,12.0,2.27065,5.28483033492612
2014-07-01,BRA,BRL,Brazil,13.0,2.22025,5.855196486882111
2015-07-01,BRA,BRL,Brazil,13.5,3.15235,4.28251939029613
2016-07-01,BRA,BRL,Brazil,15.5,3.24145,4.78181060944948
2017-07-01,BRA,BRL,Brazil,16.5,3.2343,5.10156757258139
2018-07-01,BRA,BRL,Brazil,16.9,3.83835,4.4029335521773705
2019-07-09,BRA,BRL,Brazil,17.5,3.8073,4.59643316786174
